stid,stname,prid,kansoku,地点名,カナ,北緯,東経,標高,rain,wind,temp,sun,snow,etc,地域名,南緯,緯度
a1264,幌満,22,100000,幌満,ホロマン,42度04.6分,143度02.1分,0m,True,False,False,False,False,False,日高,,42度04.6分
a1276,目黒,22,100010,目黒,メグロ,42度07.7分,143度18.7分,7m,True,False,False,False,True,False,日高,,42度07.7分
a1288,中杵臼,22,111210,中杵臼,ナカキネウス,42度13.4分,142度56.9分,98m,True,True,True,True,True,False,日高,,42度13.4分
a1340,えりも岬,22,111201,えりも岬,エリモミサキ,41度55.5分,143度14.6分,63m,True,True,True,True,False,True,日高,,41度55.5分
a1430,旭,22,100010,旭,アサヒ,42度37.7分,142度23.6分,245m,True,False,False,False,True,False,日高,,42度37.7分
a1594,平取,22,10,平取,ビラトリ,42度36.4分,142度08.8分,44m,False,False,False,False,True,False,日高,,42度36.4分
a0100,軍艦山,20,100000,軍艦山,グンカンヤマ,43度28.7分,143度07.6分,900m,True,False,False,False,False,False,十勝,,43度28.7分
a0101,陸別,20,111211,陸別,リクベツ,43度28.3分,143度45.2分,210m,True,True,True,True,True,True,十勝,,43度28.3分
a0102,殖産高地,20,100000,殖産高地,ショクサンコウチ,43度26.1分,143度41.7分,419m,True,False,False,False,False,False,十勝,,43度26.1分
a0103,ぬかびら源泉郷,20,111211,ぬかびら源泉郷,ヌカビラゲンセンキョウ,43度22.0分,143度11.5分,540m,True,True,True,True,True,True,十勝,,43度22.0分
a0104,小坂山,20,100000,小坂山,コサカヤマ,43度23.8分,143度29.0分,740m,True,False,False,False,False,False,十勝,,43度23.8分
a0105,上足寄,20,100000,上足寄,カミアショロ,43度21.4分,143度48.1分,384m,True,False,False,False,False,False,十勝,,43度21.4分
a0106,西ヌプカウシ山,20,100000,西ヌプカウシ山,ニシヌプカウシヤマ,43度14.5分,143度04.2分,760m,True,False,False,False,False,False,十勝,,43度14.5分
a0107,上士幌,20,111211,上士幌,カミシホロ,43度14.5分,143度17.7分,287m,True,True,True,True,True,True,十勝,,43度14.5分
a0108,幌安山,20,100000,幌安山,ホロヤスヤマ,43度14.9分,143度26.7分,440m,True,False,False,False,False,False,十勝,,43度14.9分
a0109,足寄,20,111200,足寄,アショロ,43度14.6分,143度33.2分,90m,True,True,True,True,False,False,十勝,,43度14.6分
a0110,佐幌岳,20,100000,佐幌岳,サホロダケ,43度10.5分,142度47.1分,900m,True,False,False,False,False,False,十勝,,43度10.5分
a0111,三角山,20,100000,三角山,サンカクヤマ,43度11.8分,142度58.1分,560m,True,False,False,False,False,False,十勝,,43度11.8分
a0112,本別,20,111211,本別,ホンベツ,43度07.9分,143度36.0分,67m,True,True,True,True,True,True,十勝,,43度07.9分
a0113,新得,20,111210,新得,シントク,43度04.6分,142度50.4分,178m,True,True,True,True,True,False,十勝,,43度04.6分
a0114,鹿追,20,111200,鹿追,シカオイ,43度06.2分,142度59.7分,206m,True,True,True,True,False,False,十勝,,43度06.2分
a0115,芽室,20,111210,芽室,メムロ,42度54.0分,143度02.6分,90m,True,True,True,True,True,False,十勝,,42度54.0分
s47417,帯広,20,111111,帯広,オビヒロ,42度55.3分,143度12.7分,38.4m,True,True,True,True,True,True,十勝,,42度55.3分
a0117,池田,20,111200,池田,イケダ,42度55.2分,143度27.5分,42m,True,True,True,True,False,False,十勝,,42度55.2分
a0118,浦幌,20,111210,浦幌,ウラホロ,42度48.5分,143度39.4分,20m,True,True,True,True,True,False,十勝,,42度48.5分
a0119,帯広岳,20,100000,帯広岳,オビヒロダケ,42度44.8分,142度56.0分,440m,True,False,False,False,False,False,十勝,,42度44.8分
a0120,ひょうたん沢,20,100000,ひょうたん沢,ヒョウタンザワ,42度35.8分,143度03.8分,380m,True,False,False,False,False,False,十勝,,42度35.8分
a0121,大樹,20,111210,大樹,タイキ,42度30.0分,143度16.4分,87m,True,True,True,True,True,False,十勝,,42度30.0分
s47440,広尾,20,111111,広尾,ヒロオ,42度17.6分,143度19.0分,32.4m,True,True,True,True,True,True,十勝,,42度17.6分
a1099,三国山,20,100000,三国山,ミクニヤマ,43度34.1分,143度08.4分,940m,True,False,False,False,False,False,十勝,,43度34.1分
a1204,駒場,20,111200,駒場,コマバ,43度03.0分,143度11.0分,112m,True,True,True,True,False,False,十勝,,43度03.0分
a1210,上札内,20,111210,上札内,カミサツナイ,42度38.5分,143度05.8分,251m,True,True,True,True,True,False,十勝,,42度38.5分
a1211,更別,20,111200,更別,サラベツ,42度39.1分,143度11.7分,185m,True,True,True,True,False,False,十勝,,42度39.1分
a1214,大津,20,111200,大津,オオツ,42度41.2分,143度38.8分,4m,True,True,True,True,False,False,十勝,,42度41.2分
a1286,糠内,20,111200,糠内,ヌカナイ,42度47.2分,143度19.7分,70m,True,True,True,True,False,False,十勝,,42度47.2分
a1404,小利別,20,100000,小利別,ショウトシベツ,43度35.3分,143度40.8分,313m,True,False,False,False,False,False,十勝,,43度35.3分
a1405,押帯,20,100000,押帯,オショップ,43度06.9分,143度26.6分,104m,True,False,False,False,False,False,十勝,,43度06.9分
a1409,柏倉,20,100000,柏倉,カシワクラ,43度21.7分,143度27.5分,378m,True,False,False,False,False,False,十勝,,43度21.7分
